INDEX,SEARCHED KEYWORD,PAPER TITLE,AUTHER NAME,URL,YEAR,ABSTRACT,SUMMARY
0,reservoir computing in WSN,An experimental characterization of reservoir computing in ambient assisted living applications,"D Bacciu, P Barsocchi, S Chessa, C Gallicchio… - Neural Computing and …, 2014 - Springer",https://link.springer.com/article/10.1007/s00521-013-1364-4,2014,"In this paper, we present an introduction and critical experimental evaluation of a reservoir computing (RC) approach for ambient assisted living (AAL) applications. Such an empirical analysis jointly addresses the issues of efficiency, by analyzing different system configurations toward the embedding into computationally constrained wireless sensor devices, and of efficacy, by analyzing the predictive performance on real-world applications. First, the approach is assessed on a validation scheme where training, validation and test data are sampled in homogeneous ambient conditions, i.e., from the same set of rooms. Then, it is introduced an external test set involving a new setting, i.e., a novel ambient, which was not available in the first phase of model training and validation. The specific test-bed considered in the paper allows us to investigate the capability of the RC approach to discriminate among user movement trajectories from received signal strength indicator sensor signals. This capability can be exploited in various AAL applications targeted at learning user indoor habits, such as in the proposed indoor movement forecasting task. Such a joint analysis of the efficiency/efficacy trade-off provides novel insight in the concrete successful exploitation of RC for AAL tasks and for their distributed implementation into wireless sensor networks.",Such a joint analysis of the efficiency/efficacy trade-off provides novel insight in the concrete successful exploitation of RC for AAL tasks and for their distributed implementation into wireless sensor networks.
1,reservoir computing in WSN,Human activity recognition using multisensor data fusion based on reservoir computing,"F Palumbo, C Gallicchio, R Pucci… - Journal of Ambient …, 2016 - content.iospress.com",https://content.iospress.com/articles/journal-of-ambient-intelligence-and-smart-environments/ais372,2016,"Activity recognition plays a key role in providing activity assistance and care for users in smart homes. In this work, we present an activity recognition system that classifies in the near real-time a set of common daily activities exploiting both the data sampled by sensors embedded in a smartphone carried out by the user and the reciprocal Received Signal Strength (RSS) values coming from worn wireless sensor devices and from sensors deployed in the environment. In order to achieve an effective and responsive classification, a decision tree based on multisensor data-stream is applied fusing data coming from embedded sensors on the smartphone and environmental sensors before processing the RSS stream. To this end, we model the RSS stream, obtained from a Wireless Sensor Network (WSN), using Recurrent Neural Networks (RNNs) implemented as efficient Echo State Networks (ESNs), within the Reservoir Computing (RC) paradigm. We targeted the system for the EvAAL scenario, an international competition that aims at establishing benchmarks and evaluation metrics for comparing Ambient Assisted Living (AAL) solutions. In this paper, the performance of the proposed activity recognition system is assessed on a purposely collected real-world dataset, taking also into account a competitive neural network approach for performance comparison. Our results show that, with an appropriate configuration of the information fusion chain, the proposed system reaches a very good accuracy with a low deployment cost. ","In this work, we present an activity recognition system that classifies in the near real-time a set of common daily activities exploiting both the data sampled by sensors embedded in a smartphone carried out by the user and the reciprocal Received Signal Strength (RSS) values coming from worn wireless sensor devices and from sensors deployed in the environment."
2,reservoir computing in WSN,Multisensor data fusion for activity recognition based on reservoir computing,"F Palumbo, P Barsocchi, C Gallicchio, S Chessa… - Evaluating AAL Systems …, 2013 - Springer",https://link.springer.com/chapter/10.1007/978-3-642-41043-7_3,2013,"Ambient Assisted Living facilities provide assistance and care for the elderly, where it is useful to infer their daily activity for ensuring their safety and successful ageing. In this work, we present an Activity Recognition system that classifies a set of common daily activities exploiting both the data sampled by accelerometer sensors carried out by the user and the reciprocal Received Signal Strength (RSS) values coming from worn wireless sensor devices and from sensors deployed in the environment. To this end, we model the accelerometer and the RSS stream, obtained from a Wireless Sensor Network (WSN), using Recurrent Neural Networks implemented as efficient Echo State Networks (ESNs), within the Reservoir Computing paradigm. Our results show that, with an appropriate configuration of the ESN, the system reaches a good accuracy with a low deployment cost.KeywordsAALActivity RecognitionNeural NetworksSensor Data FusionWSN","In this work, we present an Activity Recognition system that classifies a set of common daily activities exploiting both the data sampled by accelerometer sensors carried out by the user and the reciprocal Received Signal Strength (RSS) values coming from worn wireless sensor devices and from sensors deployed in the environment."
3,reservoir computing in WSN,User movements forecasting by reservoir computing using signal streams produced by mote-class sensors,"C Gallicchio, A Micheli, P Barsocchi… - … Wireless Systems: Third …, 2012 - Springer",https://link.springer.com/chapter/10.1007/978-3-642-29479-2_12,2012,"Real-time, indoor user localization, although limited to the current user position, is of great practical importance in many Ambient Assisted Living (AAL) applications. Moreover, an accurate prediction of the user next position (even with a short advice) may open a number of new AAL applications that could timely provide the right services in the right place even before the user request them. However, the problem of forecasting the user position is complicated due to the intrinsic difficulty of localization in indoor environments, and to the fact that different paths of the user may intersect at a given point, but they may end in different places. We tackle with this problem by modeling the localization information stream obtained from a Wireless Sensor Network (WSN) using Recurrent Neural Networks implemented as efficient Echo State Networks (ESNs), within the Reservoir Computing paradigm. In particular, we have set up an experimental test-bed in which the WSN produces localization information of a user that moves along a number of different paths, and in which the ESN collects localization information to predict a future position of the user at some given mark points. Our results show that, with an appropriate configuration of the ESN, the system reaches a good accuracy of the prediction also with a small WSN, and that the accuracy scales well with the WSN size. Furthermore, the accuracy is also reasonably robust to variations in the deployment of the sensors. For these reasons our solution can be configured to meet the desired trade-off between cost and accuracy.KeywordsMovement ForecastingSensor Stream AnalysisReceived Signal StrengthEcho State NetworksWireless Sensor NetworksAmbient Assisted Living","However, the problem of forecasting the user position is complicated due to the intrinsic difficulty of localization in indoor environments, and to the fact that different paths of the user may intersect at a given point, but they may end in different places."
4,reservoir computing in WSN,Distributed reservoir computing with sparse readouts [research frontier],"S Scardapane, M Panella… - IEEE Computational …, 2016 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7587490/,2016,"In a network of agents, a widespread problem is the need to estimate a common underlying function starting from locally distributed measurements. Real-world scenarios may not allow the presence of centralized fusion centers, requiring the development of distributed, message-passing implementations of the standard machine learning training algorithms. In this paper, we are concerned with the distributed training of a particular class of recurrent neural networks, namely echo state networks (ESNs). In the centralized case, ESNs have received considerable attention, due to the fact that they can be trained with standard linear regression routines. Based on this observation, in our previous work we have introduced a decentralized algorithm, framed in the distributed optimization field, in order to train an ESN. In this paper, we focus on an additional sparsity property of the output layer of ESNs, allowing for very efficient implementations of the resulting networks. In order to evaluate the proposed algorithm, we test it on two well-known prediction benchmarks, namely the Mackey-Glass chaotic time series and the 10th order nonlinear auto regressive moving average (NARMA) system.","In this paper, we focus on an additional sparsity property of the output layer of ESNs, allowing for very efficient implementations of the resulting networks."
5,reservoir computing in WSN,Digital implementation of a single dynamical node reservoir computer,"ML Alomar, MC Soriano… - … on Circuits and …, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7161321/,2015,"Minimal hardware implementations of machine-learning techniques have been attracting increasing interest over the last decades. In particular, field-programmable gate array (FPGA) implementations of neural networks (NNs) are among the most appealing ones, given the match between system requirements and FPGA properties, namely, parallelism and adaptation. Here, we present an FPGA implementation of a conceptually simplified version of a recurrent NN based on a single dynamical node subject to delayed feedback. We show that this configuration is capable of successfully performing simple real-time temporal pattern classification and chaotic time-series prediction.","In particular, field-programmable gate array (FPGA) implementations of neural networks (NNs) are among the most appealing ones, given the match between system requirements and FPGA properties, namely, parallelism and adaptation."
6,reservoir computing in WSN,DropIn: Making reservoir computing neural networks robust to missing inputs by dropout,"D Bacciu, F Crecchi, D Morelli - 2017 International Joint …, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7966106/,2017,"The paper presents a novel, principled approach to train recurrent neural networks from the Reservoir Computing family that are robust to missing part of the input features at prediction time. By building on the ensembling properties of Dropout regularization, we propose a methodology, named DropIn, which efficiently trains a neural model as a committee machine of subnetworks, each capable of predicting with a subset of the original input features. We discuss the application of the DropIn methodology in the context of Reservoir Computing models and targeting applications characterized by input sources that are unreliable or prone to be disconnected, such as in pervasive wireless sensor networks and ambient intelligence. We provide an experimental assessment using real-world data from such application domains, showing how the Dropin methodology allows to maintain predictive performances comparable to those of a model without missing features, even when 20%–50% of the inputs are not available.","We discuss the application of the DropIn methodology in the context of Reservoir Computing models and targeting applications characterized by input sources that are unreliable or prone to be disconnected, such as in pervasive wireless sensor networks and ambient intelligence."
7,reservoir computing in WSN,Predicting user movements in heterogeneous indoor environments by reservoir computing,"D Bacciu, C Gallicchio, A Micheli, S Chessa… - Proc. of the IJCAI …, 2011 - Citeseer",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=40c2393e1874c3fd961fdfff02402c24ccf1c3d7#page=13,2011,"… costeffectively realized on  WSNs  comprising simple computa… and their environments using    reservoir    computing  . Neural Proc…  reservoir    computing  . Neural Netw., 21 (6): 862–871, 2008. …",Neural Proc…  reservoir    computing  .
8,reservoir computing in WSN,Brain-inspired wireless communications: Where reservoir computing meets MIMO-OFDM,"SS Mosleh, L Liu, C Sahin… - IEEE transactions on …, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8169663/,2017,"Reservoir computing (RC) is a class of neuromorphic computing approaches that deals particularly well with time-series prediction tasks. It significantly reduces the training complexity of recurrent neural networks and is also suitable for hardware implementation whereby device physics are utilized in performing data processing. In this paper, the RC concept is applied to detecting a transmitted symbol in multiple-input multiple-output orthogonal frequency division multiplexing (MIMO-OFDM) systems. Due to wireless propagation, the transmitted signal may undergo severe distortion before reaching the receiver. The nonlinear distortion introduced by the power amplifier at the transmitter may further complicate this process. Therefore, an efficient symbol detection strategy becomes critical. The conventional approach for symbol detection at the receiver requires accurate channel estimation of the underlying MIMO-OFDM system. However, in this paper, we introduce a novel symbol detection scheme where the estimation of the MIMO-OFDM channel becomes unnecessary. The introduced scheme utilizes an echo state network (ESN), which is a special class of RC. The ESN acts as a black box for system modeling purposes and can predict nonlinear dynamic systems in an efficient way. Simulation results for the uncoded bit error rate of nonlinear MIMO-OFDM systems show that the introduced scheme outperforms conventional symbol detection methods.",The conventional approach for symbol detection at the receiver requires accurate channel estimation of the underlying MIMO-OFDM system.
9,reservoir computing in WSN,Reservoir Computing Forecasting of User Movements from RSS Mote-Class Sensors Measurement,"C Gallicchio, A Micheli, P Barsocchi, S Chessa - 2011 - eprints.adm.unipi.it",http://eprints.adm.unipi.it/2269/,2011,"… stream obtained from a  Wireless    Sensor    Network  (  WSN  ) using Recurrent … the  Reservoir      Computing  paradigm. In particular, we have set up an experimental test-bed in which the  WSN  …","In particular, we have set up an experimental test-bed in which the  WSN  …"
